Computerkey,PrincipalNm,,InstanceNm,AgentNm,EditionNm,VersionNm,ServicePackVersionDesc,DatabaseNm,OwnerNm,RecoveryModelDesc
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer_NTTA_INTTempDB,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,StateService_2ceb901f5f63487bbc033e2981bc54ec,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,tempdb,sa,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,User Profile Service Application_SyncDB_fc648bddce0142f08bd482257f8353f6,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,WebAnalyticsServiceApplication_ReportingDB_c1467035-2cb4-4e00-835b-e2fe28354ea6,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,WebAnalyticsServiceApplication_StagingDB_a64c2645-837d-432d-8a68-f7b632e83920,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,2758_ReporServi_RSExecutionLog,odd\gerbert.v.rey,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,INTMODE_ReportServerTempDB,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,msdb,sa,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,PerformancePoint Service Application_5452d6b4c8954e6a9c5ca15b58d08b07,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,PowerPivotServiceApplication1_f70de2b5f62143c489f3a1d95ad8e432,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Report-Server,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,ReportServer_RSSPSHARED,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,RSnttaINTTempDB,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,Search_Service_Application_PropertyStoreDB_c655c9e01f8e49cda901158dc23dd1b4,odd\praveen.swamy,SIMPLE
4090,STRDS6104.odd.svc.company.com,STRDS6104\\MSRSNTTA,MSRSNTTA,SQLAgent$MSRSNTTA,Enterprise Edition,10.52.4276.0,2,SSIS_Audit_DB,odd\praveen.swamy,SIMPLE
