Computerkey,PrincipalNm,ModelNm,DisplayNm,MediaTypeDesc,DeviceId,PhysicalDiskNm,PhysicalDiskSizeNbr,DiskID
730,BG6DS2114.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,53246,13
768,VRTVW0552.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,5114,14
768,VRTVW0552.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE5,Fixed hard disk media,\\.\PHYSICALDRIVE5,\\.\PHYSICALDRIVE5,102398,15
792,BG6VW1351.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,102398,16
792,BG6VW1351.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,1024,17
1014,BG6RS2202.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,153598,18
1014,BG6RS2202.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,1024,19
1332,STRVW5312.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,7161,20
1332,STRVW5312.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,645118,21
1332,STRVW5312.odd.svc.company.com,DELL PERC 5/i SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,69374,22
