Computerkey,PrincipalNm,DeviceId,ProcessorNM,SpeedDesc,LogicalProcessorsNbr,ManufacturerNm,CPUKey
4961,STRWS6105.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
4968,STRDS6105.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,2,AuthenticAMD,1
4968,STRDS6105.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,2,AuthenticAMD,1
5037,VRTVW4170.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
5037,VRTVW4170.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
5037,VRTVW4170.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
5037,VRTVW4170.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
5190,BG6RS1201.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
5233,VRTVA4166.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6134,2300,8,AuthenticAMD,2
5233,VRTVA4166.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6134,2300,8,AuthenticAMD,2
5233,VRTVA4166.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6134,2300,8,AuthenticAMD,2
5233,VRTVA4166.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6134,2300,8,AuthenticAMD,2
5370,STRWS6108.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
5370,STRWS6108.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
5370,STRWS6108.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
5370,STRWS6108.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
5585,VRTVA1461.odd.svc.company.com,CPU2,Six-Core AMD Opteron(tm) Processor 8439 SE,2800,4,AuthenticAMD,8
5585,VRTVA1461.odd.svc.company.com,CPU0,Six-Core AMD Opteron(tm) Processor 8439 SE,2800,4,AuthenticAMD,8
5585,VRTVA1461.odd.svc.company.com,CPU1,Six-Core AMD Opteron(tm) Processor 8439 SE,2800,4,AuthenticAMD,8
5585,VRTVA1461.odd.svc.company.com,CPU3,Six-Core AMD Opteron(tm) Processor 8439 SE,2800,4,AuthenticAMD,8
5615,BG6RS1101.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,1,AuthenticAMD,3
5701,STRVA6138.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,3
5701,STRVA6138.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,3
5827,STRVD6117.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,3
5827,STRVD6117.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,3
5827,STRVD6117.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,3
5827,STRVD6117.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,3
7452,VRTVD4953.odd.svc.company.com,CPU4,AMD Opteron(TM) Processor 6220,2300,8,AuthenticAMD,9
7452,VRTVD4953.odd.svc.company.com,CPU7,AMD Opteron(TM) Processor 6220,2300,8,AuthenticAMD,9
7452,VRTVD4953.odd.svc.company.com,CPU5,AMD Opteron(TM) Processor 6220,2300,8,AuthenticAMD,9
7452,VRTVD4953.odd.svc.company.com,CPU6,AMD Opteron(TM) Processor 6220,2300,8,AuthenticAMD,9
7467,VRTVD5022.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6278,2400,8,AuthenticAMD,10
7467,VRTVD5022.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6278,2400,8,AuthenticAMD,10
7467,VRTVD5022.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6278,2400,8,AuthenticAMD,10
7467,VRTVD5022.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6278,2400,8,AuthenticAMD,10
7474,VRTVW5028.odd.svc.company.com,CPU7,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7474,VRTVW5028.odd.svc.company.com,CPU5,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7474,VRTVW5028.odd.svc.company.com,CPU6,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7474,VRTVW5028.odd.svc.company.com,CPU4,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7515,VRTVW5048.odd.svc.company.com,CPU4,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7515,VRTVW5048.odd.svc.company.com,CPU6,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7515,VRTVW5048.odd.svc.company.com,CPU5,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7515,VRTVW5048.odd.svc.company.com,CPU7,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
7596,VRTVA4963.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6176,2200,8,AuthenticAMD,1
7596,VRTVA4963.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6176,2200,8,AuthenticAMD,1
7596,VRTVA4963.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6176,2200,8,AuthenticAMD,1
7596,VRTVA4963.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6176,2200,8,AuthenticAMD,1
7605,VRTVD5072.odd.svc.company.com,CPU5,AMD Opteron(tm) Processor 6376,2300,8,AuthenticAMD,11
7605,VRTVD5072.odd.svc.company.com,CPU7,AMD Opteron(tm) Processor 6376,2300,8,AuthenticAMD,11
7605,VRTVD5072.odd.svc.company.com,CPU4,AMD Opteron(tm) Processor 6376,2300,8,AuthenticAMD,11
7605,VRTVD5072.odd.svc.company.com,CPU6,AMD Opteron(tm) Processor 6376,2300,8,AuthenticAMD,11
8022,VRTVA4991.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
8022,VRTVA4991.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
8022,VRTVA4991.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
8022,VRTVA4991.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,8,AuthenticAMD,3
10299,VRTVA5636.odd.svc.company.com,CPU2,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU5,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU6,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU0,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU1,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU3,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU7,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
10299,VRTVA5636.odd.svc.company.com,CPU4,AMD Opteron(TM) Processor 6276,2300,8,AuthenticAMD,7
